Burden,Spacing,UCS,Bench Height,Hole Diameter,Initial Stemming Height ,Final Stemming Height,Charge Length,Charge Hole ,Powder Factor,MEAN FRAGMENT SIZES
3.8,3.8,168.3,6,115,2.8,2.4,4.2,50,0.58,33.77
3.8,3.8,168.3,9,115,3,2.6,7,84,0.54,38.91
3.5,3.5,168.3,9,115,3.5,3.1,6.5,78,0.8,28.36
3.8,3.8,168.3,9,115,3,2.6,7,84,0.82,27.95
3.8,3.8,288.7,9,115,3,2.6,7,84,0.52,40.27
3.8,3.8,288.7,9,115,3,2.6,7,84,0.81,28.31
3.8,3.8,288.7,9,115,3,2.6,7,84,0.56,38.18
3.8,3.8,288.7,9,115,3,2.6,7,84,0.71,31.48
3.5,3.5,288.7,9,115,3.5,3.1,6.5,78,0.77,29.18
3.8,3.8,288.7,9,115,3,2.6,7,84,0.63,34.71
3.8,3.8,168.3,9,115,3,2.6,7,84,1.09,22.38
3.8,3.8,288.7,9,115,3,2.6,7,84,0.59,36.66
3.8,3.5,288.7,9,115,3.5,3.1,6.5,78,0.64,33.59
3.8,3.8,288.7,9,115,3,2.6,7,84,0.58,36.78
3.8,3.8,168.3,9,115,3,2.6,7,84,0.9,26.03
3.7,4.3,288.7,9,127,3.5,3.1,6.5,95,0.66,34.03
3.8,3.8,168.3,9,115,3,2.6,7,84,0.91,25.69
3.8,3.8,288.7,9,115,3,2.6,7,84,0.51,40.88
3.8,3.8,288.7,9,115,3,2.6,7,84,0.59,36.67
3.8,3.8,288.7,9,115,3,2.6,7,84,0.6,35.91
3.5,3.5,288.7,3,115,2.3,1.9,1.7,20,0.66,26.29
3.5,3.5,168.3,9,115,3.5,3.1,6.5,78,0.88,26.25
3.8,3.8,288.7,9,115,3,2.6,7,84,0.94,25.11
3.8,3.8,288.7,9,115,3,2.6,7,84,1.4,18.28
3.8,3.5,288.7,9,115,3.5,3.1,6.5,78,0.67,32.62
3.8,3.8,288.7,9,115,3,2.6,7,84,0.59,36.41
3.8,3.8,288.7,9,115,3,2.6,7,84,0.64,34.26
3.8,3.8,288.7,9,115,3,2.6,7,84,0.74,30.54
3.8,3.8,288.7,9,115,3,2.6,7,84,1.29,19.52
3.5,3.5,168.3,9,115,3.5,3.1,6.5,78,0.73,30.24
3.8,3.8,288.7,9,115,3,2.6,7,84,0.7,31.97
3.8,3.8,288.7,9,115,3,2.6,7,84,0.87,26.77
3.8,3.8,288.7,9,115,3,2.6,7,84,0.67,32.93
3.5,3.5,168.3,9,115,3.5,3.1,6.5,78,0.87,26.39
3.8,3.8,288.7,9,115,3,2.6,7,84,0.82,28.09
3.8,3.8,168.3,9,115,3,2.6,7,84,0.81,28.37
3.8,3.8,168.3,9,115,3,2.6,7,84,0.64,34.12
3.8,3.8,288.7,9,115,3,2.6,7,84,0.96,24.61
3.8,3.8,168.3,9,115,3,2.6,7,84,1.21,20.5
3.5,3.5,168.3,9,115,3.5,3.1,6.5,78,0.95,24.63
3.8,3.8,168.3,9,115,3,2.6,7,84,0.56,38.23
3.8,3.8,288.7,9,115,3,2.6,7,84,0.57,37.65
3.8,3.8,288.7,9,115,3,2.6,7,84,0.55,38.43
3.8,3.8,288.7,9,115,3,2.6,7,84,0.57,37.59
3.8,3.8,288.7,9,115,3,2.6,7,84,0.51,40.7
3.8,3.8,168.3,9,115,3,2.6,7,84,0.35,55.55
3.8,3.8,168.3,9,115,3,2.6,7,84,0.51,40.99
3.5,3.5,168.3,9,115,3.5,3.1,6.5,78,0.76,29.37
3.8,3.8,288.7,9,115,3,2.6,7,84,0.96,24.67
